company_name,company_scale,company_category,count
成利吉(厦门)智...,20-99人,智能硬件,6
中软国际,10000人以上,计算机软件,6
吉达兴,20-99人,电子商务,6
晶晟能源,20-99人,贸易/进出口,6
致上科技,20-99人,互联网,6
翰邦特,0-20人,人力资源服务,6
光棱科技,20-99人,游戏,6
医鹭信息,20-99人,信息安全,6
奥格科技,1000-9999人,计算机服务,6
环创科技,100-499人,智能硬件,6
卡昆卡,20-99人,游戏,6
极光雷豹,0-20人,游戏,6
大北欧,100-499人,办公用品及设备,6
新华三技术有限公司,10000人以上,计算机软件,6
维谛技术,20-99人,通信/网络设备,6
厦门东方远景,20-99人,计算机硬件,6
依思有限公司,1000-9999人,服装/纺织/皮革,6
泰链,0-20人,计算机软件,6
今日宇宙,0-20人,计算机软件,6
精质视觉科技,500-999人,智能硬件,6
容大合众,500-999人,电子/半导体/集成电路,6
厦门德力信,20-99人,通信/网络设备,6
天聪软件,20-99人,计算机软件,6
三倍空间,20-99人,互联网,6
阿里云,10000人以上,互联网,6
久传网络,0-20人,互联网,6
飞浪科技,0-20人,电子/半导体/集成电路,5
同步网络,100-499人,移动互联网,5
钜泽光电,20-99人,电子/半导体/集成电路,5
聚动科技,0-20人,智能硬件,5
厦门掌酷科技,100-499人,移动互联网,5
印天电子,100-499人,计算机软件,5
咪咕动漫,100-499人,互联网,5
资趣科技,0-20人,计算机软件,5
易联众医卫,100-499人,医疗健康,5
泛海三江,1000-9999人,数据服务,5
易建科技,1000-9999人,互联网,5
好食亿点,100-499人,电子商务,5
浩程信息,20-99人,信息安全,5
ABB（中国）,10000人以上,互联网,5
迈斯维自动化设备,20-99人,仪器仪表/工业自动化,5
兆慧科技,20-99人,移动互联网,5
趣店,1000-9999人,互联网金融,5
黑尖零感 BlvckSense,20-99人,互联网,5
金字塔投资俱乐部,20-99人,投资/融资,5
服信通软件,0-20人,计算机软件,5
九九拼购,20-99人,电子商务,5
京邦达供应链科技,1000-9999人,物流/仓储,5
北京亚控科技发展...,500-999人,计算机软件,5
酷模网络科技,20-99人,游戏,5
豪客来,10000人以上,餐饮,5
见福,1000-9999人,批发/零售,5
华为慧通,10000人以上,电子/半导体/集成电路,5
瀚衡智能,0-20人,计算机软件,5
小杏子网络科技,20-99人,互联网,5
云之拓,20-99人,智能硬件,5
麦蒂科技,20-99人,计算机软件,5
互拓科技,20-99人,互联网,5
Dell,1000-9999人,智能硬件,5
放牛斑,100-499人,餐饮,5
